logradouro,numero,bairro,cep,cidade,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,anuncio_criado,tipo_anuncio,preco_venda,taxa_condominio,periodicidade,preco_aluguel,iptu_ano
Rua Arizona,250,Brooklin,04567000,São Paulo,Apartamento,41,1,0,1,1,2018-12-13,Venda,326200,229,NA,NA,978
Rua Espinosa,66,Parque das Paineiras,03692060,São Paulo,Apartamento,35,1,0,2,0,2018-12-24,Venda,115499,70000,MONTHLY,0,0
Rua José Vicente,42,Tremembé,02370080,São Paulo,Condomínio,295,7,4,4,5,2019-01-12,Locação,3430,0,MONTHLY,3430,315
Rua Póvoa de Varzim,54,Jardim Macedônia,05894400,São Paulo,Apartamento,57,1,0,2,1,2018-12-21,Venda,147000,251,NA,NA,0
Alameda dos Anapurus,1661,Moema,04087006,São Paulo,Flat,37,1,1,1,1,2018-12-10,Locação,1190,909,MONTHLY,2100,70
Alameda Joaquim Eugênio de Lima,1126,Jardim Paulista,01432020,São Paulo,Escritório,237,10,NA,1,4,2018-12-18,Locação,13244,3432,MONTHLY,16676,0
Rua Antônio Ferraciolli,NA,Jardim Catarina,03910070,São Paulo,Casa de dois andares,147,2,1,3,2,2017-04-26,Venda,385000,0,NA,NA,0
Avenida Lavandisca,365,Moema,04515010,São Paulo,Flat,32,1,1,1,1,2018-12-06,Venda,224000,1386,NA,NA,84
Rua Serra de Juréa,351,Tatuapé,03323020,São Paulo,Flat,35,1,1,1,1,2018-12-05,Locação,1470,770,MONTHLY,2240,70
Avenida Professora Virgília Rodrigues Alves de Carvalho Pinto,158,Jardim Leonor Mendes de Barros,02346000,São Paulo,Apartamento,70,2,1,2,1,2018-05-14,Venda,409500,392,NA,NA,602
Avenida Mazzei,529,Tucuruvi,02310000,São Paulo,Apartamento,65,2,1,3,1,2018-12-11,Venda,287000,364,NA,NA,861
Rua José Jardim da Silveira,76,Jardim Taquaral,04674230,São Paulo,Apartamento,60,1,0,2,1,2018-01-23,Venda,199500,486,NA,NA,NA
Avenida Carlos Liviero,561,Vila Liviero,04186100,São Paulo,Apartamento,49,1,0,2,1,2015-10-28,Venda,178500,168,NA,NA,0
Rua Acomayo,180,Jardim Dom José,05886010,São Paulo,Apartamento,48,1,0,2,1,2018-11-01,Venda,136500,210,NA,NA,0
Rua Frei Caneca,128,Consolação,01307000,São Paulo,Flat,35,1,1,1,1,2018-12-10,Locação,979,700,MONTHLY,1680,70
Rua Antônio Marcondes,194,Vila Dom Pedro I,04267020,São Paulo,Apartamento,56,1,0,2,1,2019-01-14,Venda,210700,0,NA,NA,0
Rua Refinaria Presidente Bernardes,NA,Vila Antonieta,03475000,São Paulo,Casa de dois andares,181,2,0,3,2,2017-04-27,Venda,280000,0,NA,NA,0
Rua Aimberê,374,Perdizes,05018011,São Paulo,Apartamento,123,3,1,3,2,2019-01-24,Venda,735000,1050,MONTHLY,NA,2100
Avenida Interlagos,4455,Jardim Umuarama,04661300,São Paulo,Casa,110,2,1,3,2,2017-10-28,Venda,535500,532,NA,NA,0
Rua da Consolação,3101,Consolação,01302001,São Paulo,Flat,35,1,1,1,1,2019-01-09,Locação,1050,770,MONTHLY,1819,70
Rua Girassol,NA,Pinheiros,03178200,São Paulo,Escritório,1889,0,0,0,44,2018-10-16,Locação,152030,19830,MONTHLY,171861,0
Rua Pascoal Ranieri Mazzilli,NA,Vila Mendes,03257180,São Paulo,Apartamento,61,2,0,3,1,2018-06-15,Venda,196000,259,NA,NA,0
Avenida Luiz Dumont Villares,525,Jardim Sao Paulo,02085900,São Paulo,Apartamento,49,1,0,2,1,2014-02-25,Venda,206500,280,NA,NA,NA
Alameda Tietê,NA,Cerqueira César,01417020,São Paulo,Apartamento,240,3,1,4,2,2017-05-04,Venda,1924999,2275,NA,NA,518
Rua Professor Manoelito de Ornellas,104,Chácara Santo Antônio,04719040,São Paulo,Flat,27,1,1,1,1,2018-12-19,Venda,140000,1050,NA,NA,210
Rua do Boqueirão,305,Saúde,04293000,São Paulo,Apartamento,81,2,1,3,2,2018-06-26,Venda,529200,315,NA,NA,1652
Alameda Ministro Rocha Azevedo,38,Jardins,01410001,São Paulo,Flat,40,1,1,1,1,2018-12-20,Locação,2450,1400,MONTHLY,3849,70
Rua Gabriele D'Annunzio,624,Campo Belo,04619002,São Paulo,Apartamento,50,1,0,1,1,2018-12-05,Venda,373800,0,NA,NA,0
Rua Adele,210,Jardim Dom Bosco,04757050,São Paulo,Apartamento,54,1,0,2,1,2017-04-22,Venda,237999,162,NA,NA,0
Avenida Fim de Semana,530,Jardim Casablanca,05846270,São Paulo,Apartamento,56,1,0,2,1,2018-08-31,Venda,152523,280,NA,NA,0
Avenida do Oratório,NA,Parque São Lucas,03221100,São Paulo,Escritório,250,1,0,3,0,2018-12-19,Locação,1750,0,MONTHLY,1750,0
Rua Conde de Itu,352,Alto da Boa Vista,04741000,São Paulo,Apartamento,62,1,1,1,1,2018-12-19,Venda,334880,3472,NA,NA,1004
Rua Professor Manoelito de Ornellas,104,Chácara Santo Antônio,04719040,São Paulo,Flat,35,1,1,1,1,2018-12-06,Locação,1959,770,MONTHLY,2730,70
Avenida Coronel José Pires de Andrade,850,Vila Vera,04295000,São Paulo,Apartamento,69,2,1,3,1,2018-12-28,Venda,336000,461,NA,NA,0
Avenida Tucuruvi,NA,Tucuruvi,02305001,São Paulo,Condomínio,60,3,2,2,2,2018-08-24,Venda,244999,140,NA,NA,0
Avenida Nossa Senhora de Sabará,4350,Vila Emir,04447901,São Paulo,Apartamento,50,1,0,2,1,2016-11-11,Venda,182000,237,NA,NA,0
Rua Tenente Negrão,200,Itaim Bibi,04530030,São Paulo,Flat,35,1,1,1,1,2019-01-09,Locação,2029,770,MONTHLY,2800,70
Avenida Rouxinol,57,Indianópolis,04516000,São Paulo,Flat,28,1,0,1,1,2019-01-24,Locação,1400,630,MONTHLY,2029,70
Rua Belchior de Azevedo,156,Vila Leopoldina,05089030,São Paulo,Apartamento,130,4,1,3,2,2018-12-13,Venda,826000,700,NA,NA,315
Rua Águas Formosas,106,Jardim Brasil (Zona Norte),02210020,São Paulo,Apartamento,54,0,0,2,1,2017-04-19,Venda,206990,261,NA,NA,0
Rua Barão Nicolino Barra,139,Jardim Germânia,05849190,São Paulo,Apartamento,50,1,0,2,1,2018-12-10,Venda,175000,336,NA,NA,0
Avenida das Nações Unidas,18385,Várzea de Baixo,04730090,São Paulo,Escritório,1441,10,NA,1,25,2019-01-08,Locação,55478,19165,MONTHLY,74643,0
Rua Teixeira da Silva,448,Paraíso,04002000,São Paulo,Escritório,94,10,NA,1,2,2018-12-18,Locação,4922,976,MONTHLY,5898,0
Rua Soberana,49,Brooklin,04570020,São Paulo,Apartamento,44,1,1,1,1,2018-06-20,Venda,419300,306,NA,NA,53
Avenida Raimundo Pereira de Magalhães,NA,Jardim Íris,05145200,São Paulo,Casa de dois andares,120,4,2,4,4,2015-10-21,Venda,525000,NA,NA,NA,700
Alameda Joaquim Eugênio de Lima,1360,Jardim Paulista,01403002,São Paulo,Flat,42,1,0,1,1,2018-12-04,Locação,1410,780,MONTHLY,2191,77
NA,NA,Vila Maria Alta,NA,São Paulo,Casa,115,2,NA,2,2,2017-12-16,Venda,413000,0,NA,NA,0
Avenida Paes de Barros,701,Mooca,03115020,São Paulo,Apartamento,120,2,1,3,1,2018-12-06,Venda,454300,700,NA,NA,840
Rua Marfim,25,Jardim Santa Cruz,04456130,São Paulo,Casa,115,1,0,2,3,2017-04-22,Venda,301000,0,NA,NA,0
Rua Desembargador do Vale,NA,Perdizes,05010040,São Paulo,Apartamento,102,4,1,3,2,2018-12-13,Venda,686000,0,NA,NA,0
Alameda Subtenente-Aviador Francisco Hierro,202,Parque Novo Mundo,02187040,São Paulo,Depósito,NA,0,0,0,NA,2017-06-09,Locação,5950,0,MONTHLY,5950,358
Rua Doutor James Ferraz Alvim,145,Vila Suzana,05641020,São Paulo,Apartamento,316,2,3,4,4,2018-02-08,Venda,735165,0,NA,NA,0
São Paulo,625,Vila Sofia,04671071,São Paulo,Apartamento,73,2,0,3,1,2018-12-14,Venda,346500,489,NA,NA,37
Rua Croata,385,Vila Ipojuca,05056020,São Paulo,Apartamento,74,2,0,2,2,2018-12-06,Venda,532000,0,NA,NA,0
Rua Doutor Renato Paes de Barros,955,Itaim Bibi,04530001,São Paulo,Comercial,278,2,0,0,6,2019-01-18,Locação,19460,3891,MONTHLY,23352,1167
Rua Almirante Noronha,NA,Jardim São Paulo,02043060,São Paulo,Casa de dois andares,250,4,1,3,2,2018-09-13,Venda,525000,0,NA,NA,0
Rua Copacabana,125,Chora Menino,02461000,São Paulo,Apartamento,203,3,2,4,4,2019-01-18,Venda,1568000,1610,NA,NA,851
Rua Humberto I,222,Vila Mariana,04018030,São Paulo,Apartamento,86,3,2,2,2,2017-11-16,Venda,958999,700,NA,NA,266
Rua Bandeira Paulista,789,Itaim Bibi,04532012,São Paulo,Flat,35,1,1,1,1,2019-01-15,Locação,2380,770,MONTHLY,3150,70
Alameda Joaquim Eugênio de Lima,1360,Jardins,01403002,São Paulo,Flat,60,1,1,2,1,2019-01-11,Locação,2730,770,MONTHLY,3500,70
Rua Guaipá,49,Vila Leopoldina,05089000,São Paulo,Apartamento,75,2,1,2,1,2018-12-17,Venda,432600,612,NA,NA,630
Rua Canto do Rio Verde,63,Vila Andrade,05734010,São Paulo,Apartamento,50,1,1,2,1,2018-12-06,Venda,203000,0,NA,NA,0
Avenida Sargento Geraldo Sant'Ana,1100,Jardim Marajoara,04674225,São Paulo,Apartamento,75,2,1,3,1,2018-12-27,Venda,266000,489,NA,NA,56
Rua Itaiteva,125,Jardim Ampliação,05713470,São Paulo,Apartamento,58,0,0,1,2,2018-05-23,Venda,297500,385,NA,NA,77
Rua Francisco Luiz de Souza Júnior,328,Barra Funda,05037000,São Paulo,Apartamento,50,0,0,2,1,2017-10-02,Venda,208600,0,NA,NA,0
Rua Espinosa,66,Artur Alvim,03692060,São Paulo,Apartamento,42,1,0,2,0,2018-12-24,Venda,129499,70000,MONTHLY,0,0
Rua Miragaia,212,Butantã,05511020,São Paulo,Comercial,400,0,0,0,0,2019-01-24,Locação,11900,0,MONTHLY,11900,0
Rua Doutor João Maia,100,Aclimação,04109130,São Paulo,Apartamento,103,2,1,3,2,2018-12-10,Venda,514499,1190,NA,NA,234
Rua Camargo,10,Butantã,05510050,São Paulo,Comercial,308,0,1,0,15,2019-01-24,Locação,11200,0,MONTHLY,11200,0
Avenida São Valério,533,Morumbi,05603010,São Paulo,Comercial,600,0,5,5,14,2019-01-24,Venda,2450000,0,NA,NA,1295
Rua José de Oliveira Coelho,808,Vila Andrade,05727240,São Paulo,Comercial,70,0,2,2,2,2019-01-24,Venda,385000,0,NA,NA,0
Avenida Giovanni Gronchi,4509,Vila Andrade,05724003,São Paulo,Cobertura,577,2,2,4,5,2018-12-06,Locação,12600,2660,MONTHLY,15259,1605
Rua Baronesa de Bela Vista,411,Vila Congonhas,04612001,São Paulo,Escritório,31,0,0,0,1,2019-01-09,Venda,175329,294,MONTHLY,0,965
Avenida Belisário Pena,NA,Vila Maria Alta,02133000,São Paulo,Casa de dois andares,100,3,2,2,1,2018-12-22,Venda,278600,0,NA,NA,0
Rua Guaraiúva,117,Cidade Monções,04569000,São Paulo,Escritório,192,0,0,0,5,2019-01-09,Locação,10729,0,MONTHLY,10729,0
Rua do Carreiro de Pedra,111,Jardim Caravelas,04728020,São Paulo,Apartamento,154,5,3,3,2,2018-06-29,Venda,1038799,909,NA,NA,2450
NA,NA,Jardim Tupi,04939200,São Paulo,Depósito,2654,10,0,0,12,2019-01-18,Locação,33437,5926,MONTHLY,39363,0
Rua Santo Antônio do Aventureiro,279,Jardim Popular,03671030,São Paulo,Casa,251,3,3,3,0,2018-10-31,Venda,244768,0,NA,NA,0
Rua Catiara,267,Jardim Umarizal,05756240,São Paulo,Apartamento,84,1,0,2,1,2019-01-15,Venda,154000,0,MONTHLY,0,0
Rua Paulo Orozimbo,NA,Cambuci,01535001,São Paulo,Apartamento,100,3,1,2,2,2017-09-26,Venda,489999,1050,NA,NA,2163
Avenida Cidade Jardim,411,Itaim Bibi,01453000,São Paulo,Flat,38,1,1,1,1,2019-01-11,Venda,332500,1294,NA,NA,140
Alameda Lorena,NA,Jardim Paulista,01424002,São Paulo,Escritório,90,3,NA,NA,2,2019-01-10,Locação,4200,1282,MONTHLY,5482,518
Avenida Engenheiro Armando de Arruda Pereira,NA,Jabaquara,04309010,São Paulo,Escritório,70,1,0,0,0,2015-10-06,Locação,1470,0,MONTHLY,1470,111
Rua Doutor Melo Alves,717,Jardim América,01417010,São Paulo,Apartamento,350,6,4,4,5,2018-08-21,Venda,6300000,4200,NA,NA,2100
Rua Sinval de Souza Lacerda,34,Jardim Santa Cruz (Campo Grande),04456142,São Paulo,Casa,95,2,1,3,2,2017-04-22,Venda,315000,125,NA,NA,0
Rua Angá,NA,Jardim Vila Formosa,03360000,São Paulo,Apartamento,76,2,1,3,2,2018-06-11,Venda,455000,244,NA,NA,420
Rua Alves Guimarães,1120,Pinheiros,03178200,São Paulo,Apartamento,30,1,1,1,0,2018-12-26,Locação,2100,385,MONTHLY,2485,70
Alameda Lorena,NA,Jardim Paulista,01424004,São Paulo,Escritório,251,2,NA,NA,8,2019-01-10,Locação,11200,3898,MONTHLY,15098,1750
Rua Alvorada,1009,Vila Olímpia,04550004,São Paulo,Flat,45,1,1,1,1,2018-12-14,Locação,2029,770,MONTHLY,2800,70
Rua Paulo Ribeiro da Luz,170,Butantã,05590140,São Paulo,Comercial,70,0,0,4,2,2019-01-24,Venda,266000,630,NA,NA,0
Rua Clemente Pereira,271,Ipiranga,04216060,São Paulo,Casa,120,1,1,3,3,2018-12-05,Venda,840000,0,NA,NA,350
Rua Coronel Francisco Inácio,587,Vila Moinho Velho,04286000,São Paulo,Loteamento Residencial,340,0,0,0,0,2018-01-16,Venda,593600,0,NA,NA,280
Rua Alagoas,974,Higienópolis,01242000,São Paulo,Flat,39,1,1,1,1,2018-12-17,Venda,301000,909,NA,NA,280
Rua Santo Afonso,112,Penha,03632020,São Paulo,Apartamento,154,5,3,3,3,2018-03-14,Locação,2100,1190,MONTHLY,3290,0
Rua Serra de Juréa,351,Tatuapé,03323020,São Paulo,Flat,35,1,1,1,1,2018-12-05,Locação,1470,770,MONTHLY,2240,70
Avenida Rouxinol,174,Moema,04516000,São Paulo,Flat,40,1,1,1,1,2018-12-10,Locação,1330,770,MONTHLY,2100,70
Rua Itapeva,636,Consolação,01332000,São Paulo,Flat,35,1,1,1,1,2018-12-27,Locação,2380,770,MONTHLY,3150,70
Rua Paranapanema,53,Saúde,04144100,São Paulo,Apartamento,66,2,0,2,0,2018-08-28,Venda,290500,406,NA,NA,0
Rua Teodoro Sampaio,342,Jardim America,05405000,São Paulo,Comercial,85,0,0,2,1,2019-01-24,Venda,503999,665,NA,NA,0
Rua São Felipe,200,Cidade Mae do Ceu,03085010,São Paulo,Apartamento,123,4,1,4,2,2018-12-27,Venda,595000,665,NA,NA,280
Avenida Ibirapuera,2534,Moema,04028002,São Paulo,Flat,30,1,1,1,1,2019-01-02,Venda,166600,979,NA,NA,70
Avenida Alberto Byington,1497,Vila Maria,02127001,São Paulo,Apartamento,64,1,0,2,1,2018-12-28,Locação,979,35,MONTHLY,1014,125
Alameda Campinas,676,Jardins,01404001,São Paulo,Flat,35,1,1,1,1,2019-01-14,Locação,1540,770,MONTHLY,2310,70
Rua dos Otonis,NA,Vila Clementino,04025000,São Paulo,Comercial,240,0,0,0,1,2018-12-13,Locação,4900,0,MONTHLY,4900,339
Rua Batataes,159,Jardins,01423010,São Paulo,Flat,40,1,1,1,1,2018-12-27,Locação,2100,1400,MONTHLY,3500,70
Rua Guian,255,Vila Campestre,04330090,São Paulo,Apartamento,52,1,0,2,1,2018-12-14,Venda,217000,39,NA,NA,0
Rua Biguaçu,286,Vila Carrão,03446000,São Paulo,Apartamento,103,3,1,4,2,2018-11-22,Venda,489789,0,NA,NA,0
Rua Haddock Lobo,294,Cerqueira César,01414000,São Paulo,Flat,28,1,1,1,1,2018-12-11,Venda,244999,1120,NA,NA,280
Rua Marcos Fernandes,114,Jardim da Saude,04149120,São Paulo,Apartamento,101,3,1,3,2,2018-06-26,Venda,714000,583,NA,NA,840
Rua Engenheiro Jorge Oliva,237,Vila Mascote,04362060,São Paulo,Apartamento,202,6,4,4,4,2018-09-08,Venda,1372000,1323,NA,NA,508
Rua Vieira de Morais,NA,Campo Belo,04617002,São Paulo,Apartamento,96,3,1,2,1,2019-01-26,Venda,560000,756,NA,NA,0
Rua Mil Oitocentos e Vinte e Dois,895,Ipiranga,04216001,São Paulo,Apartamento,53,1,1,2,1,2018-12-07,Venda,248242,0,NA,NA,0
Rua Minas Gerais,316,Higienópolis,01244010,São Paulo,Comercial,2821,0,0,0,NA,2018-07-26,Locação,157976,0,MONTHLY,157976,0
Rua Sampson,484,Brás,03013040,São Paulo,Depósito,NA,0,0,0,NA,2018-10-04,Locação,4550,0,MONTHLY,4550,77
Rua Aurélia,NA,Vila Romana,05046000,São Paulo,Apartamento,101,4,2,3,2,2019-01-11,Venda,735000,630,NA,NA,280
Rua Cortegaca,413,Jardim Guarujá,05877200,Paraíso,Condomínio,65,1,0,2,1,2018-10-30,Venda,154000,280,NA,NA,0
Rua Almeida Torres,140,Aclimação,01530010,São Paulo,Apartamento,141,4,3,3,4,2018-12-11,Venda,1113000,0,NA,NA,0
Rua Dias de Toledo,242,Saúde,04143030,São Paulo,Cobertura,NA,3,1,2,1,2017-06-27,Venda,665000,1050,NA,NA,170
Rua Frederico Grotte,30,Jardim Vergueiro,05818270,São Paulo,Apartamento,56,1,0,2,1,2018-10-25,Venda,224000,0,NA,NA,0
Rua Domingos Paiva,240,Brás,03043070,São Paulo,Apartamento,63,1,0,2,0,2018-04-12,Venda,262500,203,NA,NA,0
Rua Leandro Teixeira,NA,Paraisópolis,05662060,São Paulo,Apartamento,52,1,0,2,1,2018-12-06,Venda,148400,280,NA,NA,0
Rua Serra de Juréa,351,Cidade Mae do Ceu,03323020,São Paulo,Flat,35,1,0,1,1,2018-12-21,Venda,118999,0,NA,NA,0
Rua Hermógenes Lima,230,Jardim Monte Azul,05836230,São Paulo,Casa de dois andares,140,3,1,3,4,2018-10-30,Venda,399000,0,NA,NA,0
Rua Faustolo,NA,Lapa,05041001,São Paulo,Apartamento,133,3,1,3,2,2019-01-11,Venda,896000,0,NA,NA,0
Avenida dos Eucaliptos,200,Moema,04517005,São Paulo,Cobertura,240,5,3,3,3,2018-12-14,Venda,1470000,1260,NA,NA,840
Avenida das Nações Unidas,12495,Brooklin,04578000,São Paulo,Escritório,30,0,0,0,0,2019-01-03,Locação,7410,0,MONTHLY,7410,0
Rua Fábia,NA,Vila Romana,05051030,São Paulo,Apartamento,180,5,2,4,3,2019-01-15,Locação,4900,1050,MONTHLY,5950,0
